Time,Close,Open,High,Low,,
Jun 09,122.536,127.03,131.585,116.773,-,-1.92%
May 09,124.932,110.953,125.282,110.906,-,12.99%
Apr 09,110.571,108.611,114.197,106.824,-,0.72%
Mar 09,109.782,104.53,114.74,101.679,-,3.58%
Feb 09,105.988,109.293,114.624,101.479,-,-4.46%
Jan 09,110.93,116.386,123.792,108.221,-,-5.39%
Dec 08,117.244,120.362,120.424,105.878,-,-4.49%
Nov 08,122.753,131.71,139.481,117.212,-,-6.99%
Oct 08,131.972,167.688,169.609,123.59,-,-21.34%
Sep 08,167.776,182.201,184.076,166.777,-,-11.65%
Aug 08,189.889,203.455,207.312,185.461,-,-7.42%
Jul 08,205.103,234.024,238.521,200.421,-,-11.99%
Jun 08,233.034,213.194,236.07,211.781,-,8.92%
May 08,213.947,208.924,221.666,202.307,-,2.59%
Apr 08,208.552,199.468,216.055,197.031,-,3.45%
Mar 08,201.598,217.416,225.972,195.272,-,-6.46%
Feb 08,215.521,193.099,217.344,189.221,-,12.08%
Jan 08,192.286,187.1,193.626,181.026,-,3.96%
Dec 07,184.964,175.602,186.927,175.145,-,4.35%
Nov 07,177.247,184.657,186.408,176.966,-,-3.42%
Oct 07,183.524,178.217,183.875,171.884,-,2.96%
Sep 07,178.25,165.11,180.379,164.672,-,7.66%
Aug 07,165.566,171.947,172.873,160.16,-,-3.99%
Jul 07,172.446,170.251,175.18,168.063,-,1.64%
Jun 07,169.671,172.833,177.104,167.43,-,-1.77%
May 07,172.723,172.901,175.303,169.605,-,-0.28%
Apr 07,173.215,171.29,175.193,169.765,-,0.73%
Mar 07,171.963,171.185,173.445,164.808,-,0.56%
Feb 07,171.013,166.792,174.62,163.02,-,2.96%
Jan 07,166.094,163.194,167.21,154.708,-,-0.25%
Dec 06,166.509,174.253,175.527,164.968,-,-4.97%
Nov 06,175.214,167.061,175.581,163.43,-,5.03%
Oct 06,166.817,160.847,170.713,154.635,-,4.29%
Sep 06,159.957,170.439,172.141,155.347,-,-6.39%
Aug 06,170.876,178.744,181.374,167.58,-,-4.02%
Jul 06,178.032,173.621,180.565,168.98,-,2.77%
Jun 06,173.235,174.753,180.036,165.102,-,-1.95%
May 06,176.679,176.454,188.11,172.01,-,0.52%
Apr 06,175.767,166.704,180.014,164.385,-,6.40%
Mar 06,165.194,161.957,167.466,157.865,-,1.82%
Feb 06,162.234,174.198,175.34,158.852,-,-6.58%
Jan 06,173.669,171.149,174.519,166.654,-,1.47%
Dec 05,171.149,166.792,180.937,166.787,-,2.85%
Nov 05,166.402,166.531,168.97,162.045,-,-0.07%
Oct 05,166.516,178.597,179.617,166.305,-,-6.58%
Sep 05,178.249,171.913,180.315,165.679,-,4.35%
Aug 05,170.816,159.561,175.271,159.373,-,7.21%
Jul 05,159.33,153.412,161.088,153.26,-,4.22%
Jun 05,152.885,150.815,161.608,150.644,-,1.43%
May 05,150.727,151.588,153.741,145.727,-,-1.03%
Apr 05,152.294,162.011,163.276,151.705,-,-6.05%
Mar 05,162.094,156.153,166.189,154.987,-,3.34%
Feb 05,156.851,146.255,158.321,141.118,-,6.83%
Jan 05,146.821,143.988,149.244,139.983,-,0.84%
Dec 04,145.604,153.318,153.808,140.512,-,-5.09%
Nov 04,153.406,156.135,156.881,149.195,-,-1.38%
Oct 04,155.549,152.218,160.176,150.261,-,1.55%
Sep 04,153.175,144.065,154.009,140.538,-,6.70%
Aug 04,143.556,145.792,149.691,141.681,-,-1.95%
Jul 04,146.414,143.801,148.145,143.443,-,1.65%
Jun 04,144.034,153.426,155.184,142.739,-,-4.26%
May 04,150.436,148.416,152.596,146.494,-,1.61%
Apr 04,148.046,150.916,151.942,144.028,-,-1.85%
Mar 04,150.837,147.18,152.06,143.19,-,3.00%
Feb 04,146.45,137.3,146.67,136.1,-,6.42%
Jan 04,137.62,138.41,142.88,136.11,-,1.74%
