Time,Close,Open,High,Low,,
Jul 10,"4,252.64","3,979.00","4,252.64","3,893.30",-,5.63%
Jun 10,"4,025.97","3,962.50","4,229.60","3,849.80",-,0.42%
May 10,"4,009.25","4,612.90","4,667.10","3,765.90",-,-13.19%
Apr 10,"4,618.37","4,532.70","4,662.40","4,461.70",-,2.77%
Mar 10,"4,493.67","4,448.00","4,521.20","4,332.60",-,1.94%
Feb 10,"4,408.36","4,180.20","4,468.90","4,018.20",-,5.56%
Jan 10,"4,176.22","4,611.20","4,743.90","4,158.70",-,-7.89%
Dec 09,"4,534.17","4,522.40","4,576.00","4,199.00",-,0.86%
Nov 09,"4,495.31","4,459.20","4,617.60","4,299.30",-,1.52%
Oct 09,"4,427.82","4,163.10","4,797.30","4,046.30",-,5.87%
Sep 09,"4,182.21","4,199.20","4,306.80","3,956.20",-,0.17%
Aug 09,"4,175.00","4,336.50","4,465.80","4,095.90",-,-2.36%
Jul 09,"4,276.10","4,299.70","4,356.10","3,731.90",-,0.44%
Jun 09,"4,257.24","4,307.20","4,541.60","4,023.70",-,0.57%
May 09,"4,233.06","3,525.00","4,246.90","3,515.40",-,19.67%
Apr 09,"3,537.42","3,517.30","3,792.70","3,378.00",-,-0.92%
Mar 09,"3,570.22","3,349.80","3,820.80","3,175.90",-,4.51%
Feb 09,"3,416.30","3,603.10","3,724.60","3,104.60",-,-6.10%
Jan 09,"3,638.25","3,873.10","4,393.90","3,526.30",-,-8.94%
Dec 08,"3,995.39","4,509.60","4,511.40","3,523.80",-,-13.32%
Nov 08,"4,609.34","5,391.40","5,722.00","4,282.40",-,-14.84%
Oct 08,"5,412.61","7,538.30","7,685.30","4,977.50",-,-28.20%
Sep 08,"7,538.31","8,074.10","9,222.20","7,125.90",-,-12.44%
Aug 08,"8,609.50","9,196.10","9,499.60","8,373.50",-,-7.10%
Jul 08,"9,267.72","10,646.30","10,941.70","9,069.50",-,-12.23%
Jun 08,"10,558.65","9,610.20","10,804.80","9,403.30",-,9.22%
May 08,"9,667.63","8,913.54","10,176.40","8,615.98",-,9.10%
Apr 08,"8,860.93","8,117.73","9,223.37","8,045.43",-,7.96%
Mar 08,"8,207.26","8,322.21","8,861.23","7,964.06",-,-1.17%
Feb 08,"8,304.77","7,445.57","8,385.14","7,240.76",-,11.26%
Jan 08,"7,464.40","7,515.13","7,780.08","7,061.40",-,-0.03%
Dec 07,"7,466.30","7,039.31","7,571.93","6,907.95",-,5.77%
Nov 07,"7,059.31","7,381.17","7,614.03","7,047.82",-,-3.70%
Oct 07,"7,330.34","6,712.51","7,342.61","6,432.20",-,9.61%
Sep 07,"6,687.84","6,089.91","6,797.23","6,040.99",-,10.23%
Aug 07,"6,067.40","6,316.88","6,355.08","5,781.58",-,-4.19%
Jul 07,"6,332.53","6,014.53","6,341.02","5,952.12",-,5.55%
Jun 07,"5,999.78","5,829.35","6,113.33","5,794.89",-,3.22%
May 07,"5,812.55","5,861.61","5,969.96","5,664.83",-,-1.55%
Apr 07,"5,904.26","5,910.96","5,941.95","5,763.09",-,-0.28%
Mar 07,"5,920.55","5,736.12","5,920.55","5,511.93",-,3.23%
Feb 07,"5,735.06","5,439.20","5,764.96","5,432.66",-,4.30%
Jan 07,"5,498.77","5,611.07","5,611.07","5,044.78",-,-2.29%
Dec 06,"5,627.64","6,043.58","6,043.58","5,592.46",-,-7.12%
Nov 06,"6,058.91","5,746.83","6,058.91","5,667.84",-,5.53%
Oct 06,"5,741.51","5,786.70","5,974.35","5,642.94",-,-2.57%
Sep 06,"5,892.86","6,503.20","6,503.20","5,749.31",-,-10.71%
Aug 06,"6,599.42","7,119.29","7,223.28","6,575.81",-,-7.26%
Jul 06,"7,115.85","6,989.70","7,261.31","6,903.47",-,2.01%
Jun 06,"6,975.97","6,849.07","7,007.92","6,604.63",-,1.16%
May 06,"6,895.81","7,087.18","7,254.09","6,746.15",-,-0.77%
Apr 06,"6,949.29","6,577.12","7,255.88","6,519.90",-,6.33%
Mar 06,"6,535.38","6,254.76","6,606.30","6,108.06",-,5.13%
Feb 06,"6,216.45","6,785.48","6,785.48","6,051.29",-,-10.10%
Jan 06,"6,915.18","6,729.99","6,956.21","6,597.79",-,4.33%
Dec 05,"6,627.92","6,590.97","7,011.47","6,400.00",-,2.87%
Nov 05,"6,443.10","6,672.66","6,781.96","6,315.95",-,-3.85%
Oct 05,"6,700.94","7,433.84","7,433.84","6,700.94",-,-10.33%
Sep 05,"7,472.48","7,634.13","7,634.13","6,918.36",-,0.02%
Aug 05,"7,471.14","6,598.76","7,509.23","6,571.64",-,15.14%
Jul 05,"6,488.55","6,328.25","6,615.46","6,184.79",-,5.50%
Jun 05,"6,150.56","6,044.82","6,457.25","5,974.41",-,5.80%
May 05,"5,813.64","5,915.22","5,944.03","5,581.71",-,-0.73%
Apr 05,"5,856.56","6,573.73","6,573.73","5,856.56",-,-9.05%
Mar 05,"6,439.38","5,974.31","6,460.28","5,974.31",-,7.56%
Feb 05,"5,986.82","5,557.08","5,986.82","5,354.46",-,6.23%
Jan 05,"5,635.92","5,173.25","5,747.46","5,173.25",-,6.76%
Dec 04,"5,278.98","5,592.74","5,648.81","5,164.70",-,-9.99%
Nov 04,"5,864.79","6,019.88","6,077.73","5,654.95",-,-4.84%
Oct 04,"6,162.91","5,945.20","6,473.32","5,909.24",-,4.15%
Sep 04,"5,917.43","5,400.46","5,917.43","5,252.34",-,12.61%
Aug 04,"5,254.62","5,440.56","5,722.21","5,254.62",-,-3.88%
Jul 04,"5,466.90","5,213.59","5,466.90","5,195.39",-,7.75%
Jun 04,"5,073.56","5,575.02","5,575.02","4,966.77",-,-4.70%
May 04,"5,323.78","5,184.13","5,490.40","5,184.13",-,4.63%
Apr 04,"5,088.35","4,858.13","5,096.45","4,828.79",-,2.76%
Mar 04,"4,951.78","4,929.98","5,032.86","4,766.08",-,2.01%
Feb 04,"4,854.23","4,631.38","4,854.23","4,461.23",-,7.42%
Jan 04,"4,518.91","4,520.70","4,786.45","4,511.56",-,0.39%
Dec 03,"4,501.27","4,256.77","4,692.34","4,256.77",-,6.24%
Nov 03,"4,236.69","4,081.73","4,415.05","4,070.30",-,2.56%
Oct 03,"4,130.98","4,053.64","4,378.77","4,053.64",-,2.19%
Sep 03,"4,042.42","4,036.23","4,081.73","3,844.40",-,-4.08%
Aug 03,"4,214.54","4,199.54","4,273.77","4,134.18",-,4.09%
Jul 03,"4,049.07","4,031.15","4,113.26","3,950.28",-,0.71%
Jun 03,"4,020.44","4,104.09","4,176.40","3,926.79",-,0.22%
May 03,"4,011.64","3,665.54","4,011.64","3,632.09",-,9.59%
Apr 03,"3,660.66","3,817.55","3,906.35","3,608.76",-,-6.14%
Mar 03,"3,900.01","4,434.80","4,552.41","3,668.87",-,-14.41%
Feb 03,"4,556.68","4,032.36","4,556.68","4,032.36",-,12.12%
Jan 03,"4,064.02","3,819.38","4,075.06","3,744.57",-,8.99%
Dec 02,"3,728.76","3,476.98","3,864.67","3,421.92",-,8.53%
